gene,AHR,ARID1A,ARRDC3,ATL1,BCORL1,BPGM,CBARP,CBFA2T3,CBL,CDKN1A,CDKN1B,CDKN1C,CEBPA,CEBPB,CEBPE,CELF2,CITED1,CKS1B,CLDN6,CNN1,CNNM4,COL1A1,COL2A1,CSRNP1,DLX2,DUSP9,EGR1,ELMSAN1,ETS2,FEV,FOSB,FOXA1,FOXA3,FOXF1,FOXL2,FOXL2NB,FOXO4,GLB1L2,HES7,HK2,HNF4A,HOXA13,HOXB9,HOXC13,IER5L,IGDCC3,IKZF3,IRF1,ISL2,JUN,KIF18B,KIF2C,KLF1,KMT2A,LHX1,LYL1,MAML2,MAP2K3,MAP2K6,MAP4K3,MAP4K5,MAP7D1,MAPK1,MEIS1,MIDN,NCL,NIT1,OSR2,PLK4,POU3F2,PRDM1,PRTG,PTPN1,PTPN12,PTPN13,PTPN9,RHOXF2B,RP5-862P8.2,RREB1,RUNX1T1,S1PR2,SAMD1,SET,SGK1,SLC38A2,SLC4A1,SLC6A9,SNAI1,SPI1,STIL,TBX2,TBX3,TGFBR2,TMSB4X,TP73,TSC22D1,UBASH3A,UBASH3B,ZBTB1,ZBTB10,ZBTB25,ZC3HAV1,ZNF318
AHR,0.1101440792233897,-0.02789587808802718,0.00037574156776631895,-0.008738302367651607,0.00034978551228548316,0.04126761943859153,-0.0040613892498703175,-0.07233032374258314,-0.058872270616014966,0.045270979040621495,0.09233525990904667,0.013370910393281199,-0.046775213593278187,0.008376815153204098,-0.03486737178527766,-0.04530861805099068,0.012963261701671891,0.027556448875797612,0.03846242456558485,-0.0024823991182224003,0.001799802382738136,0.06280016603740801,-0.0025428773908868774,0.10115556952868732,-0.021733957387622516,-0.055057032427468955,0.010973687137226185,-0.05691020790711537,-0.0835239883874968,-0.13819461016074336,-0.060849835254575046,-0.023452527032062742,-0.0333774604512565,-0.08075408186718852,-0.018318072498962168,-0.023862028406999802,0.013524548034420603,-0.013355988679964237,-0.009921669270072098,0.02900157742643783,0.08480449068337936,-0.010067483838007707,-0.04432916495196937,-0.027015238044613143,-0.07018425343978074,-0.053729327374424984,-0.016302300808341386,-0.0591812129580328,-0.038285375765956364,-0.03259767698837107,0.026017893108545465,-0.01810516106892046,0.15819965580787873,-0.0347810733738379,-0.08432237132326326,0.008513758248011372,0.030003616929955873,0.025990690096573593,0.004534118851082514,0.053713605223966066,0.03452427446291062,-0.01251869275374784,-0.09856366860729748,-0.0900224133344989,0.02095452552657384,-0.09134587988672982,0.021530846583331043,-0.022429617380485434,-0.013245983905705694,-0.12314531923901045,-0.006624284155316906,0.0012613368738255692,0.015259701756672128,0.01868519681930575,0.049895560816867024,-0.00030817810119870837,-0.088361671578292,-0.03657611238920677,0.03364101925976698,-0.01246885045522178,0.023434453807361644,-0.0021356997330359007,-0.023193573699893666,0.027330287142929288,-0.047006750927182206,0.013839556078842241,-0.003498752430187102,-0.050537129247264334,0.03244799826489153,0.038173919315694416,0.10978479170893829,0.09330213605189713,-0.055737774156909836,0.04847583451319115,0.02331419893067932,-0.004735921764767559,-0.018749607527581313,-0.026692531398854524,0.02160523164822281,0.009540450403895284,0.06470307828935434,0.13420332338737975,-0.0848078796738127
ARID1A,-0.02789587808802707,0.0783892581878835,0.0022624429710151883,-0.0050669576101967095,0.0007072674545807733,-0.015274313875966838,-0.0003038117990657452,-0.0777636580970264,-0.02565668636216384,0.03593858168806935,0.019194674408969437,0.05913350464380812,0.06626823794371617,0.05451194500153178,0.09078224101270344,0.0351024934062929,-0.009311167763431938,0.00907488116570987,0.02892754192921687,-0.0004701193367016021,-0.0069880048914945925,0.08689055089905845,-0.013637340977948886,0.04483187002950678,-0.0388648096148268,0.039183390127257356,0.022191077836304585,-0.0030780334822476663,-0.039731835977835694,-0.014364699217371213,0.027930541063795666,-0.03749149748810826,-0.024566991419841866,-0.043656238105990786,-0.012842301715528304,-1.4651283460231923e-05,0.04300906883876654,0.011157750768008401,-0.04482324772521218,0.01965851595100232,0.05599034347455428,0.02164560177368302,-0.04372248398540124,0.05574704963522015,0.03931931176027553,0.02684172775882432,-0.02573196587890747,0.009740540368350037,-0.05453448250127313,-0.016425493492303433,0.054189875920024666,0.03191911860581492,0.040167111937607636,-0.016706266152293092,-0.025789196554336424,0.03762754907977489,0.03616925977240598,0.06089050775393198,0.03756055016640758,0.005825852270730347,-0.0055285514247174206,-0.003330125625218505,-0.02825556810163926,-0.04270375930497394,0.008088977158323185,-0.06769111672914674,0.05228674953992407,0.05143286041908496,0.05570984319649647,-0.047056863427230755,0.006828433387154997,-0.03854739095105908,-0.003313741851263541,-6.2744839437745e-05,0.03894124733321258,-0.00432955427274323,-0.00023363198066939095,-0.0014323849451682857,0.0037659917437989354,0.0024803806406676343,-0.01675012152084332,0.010080922671909964,-0.005033249622251823,0.04218832229872127,-0.006419122462924087,0.0006738842456948113,0.02171611196990092,-0.12315458262214757,0.02060806847840202,0.04762007087691922,-0.0002826321047910696,-0.016865871721533865,-0.016443542486966056,0.031817429228747196,0.056501516979044486,-0.013464448986062638,-0.008157581538203285,-0.0217404251115913,0.007682505781292037,-0.014498870670881847,0.023380391007511492,0.08391371109620646,-0.052037358012267
ARRDC3,0.000375741567766541,0.002262442971015466,-1.707789019125827e-05,0.0044371528218292156,-0.009149752789163745,-0.01499259445913198,-0.009302613207803456,-0.019811963415743095,-0.0012199428917689659,0.006339885633024067,-0.003209713198746411,0.020758376614675444,0.11029067611569265,0.01630017350073648,0.012933298756296563,0.0017935315783538242,-0.03787028945365706,-0.001196213093502596,-0.0032062345880292664,0.012985557353635935,-0.03245959751652705,0.037918656106785575,0.039524112080891405,0.0010556034651441441,-0.011396694878082314,-0.02458216009982367,-0.01649856063741295,0.005144563236453459,-0.04027433804472336,0.020161709431698316,0.012754041644980951,-0.03474170653839237,-0.02414858244491258,-0.028934663230829938,-0.03234647175557842,-0.025234100793624537,-0.010501970030086016,-0.022911624984219225,-0.12224021307429139,-0.008301212285487275,-0.004549147120421815,-0.028477630529394227,-0.028213157388624732,0.028342860731097874,-0.008746011590082259,-0.025292279215879232,-0.04180922232758161,-0.041843396765297636,-0.019153990986315927,0.011351469972980532,0.027241229519528065,0.012432850574978782,-0.011465957456618,-0.016707662970390863,-0.038173037325320514,0.004030851441632094,0.029317163733539417,0.009097499216811439,0.0031138231380556103,0.02046222293144162,-0.04156787710650445,0.0221568208527452,-0.03573971455086561,-0.022780587617867276,0.0008769714282189089,-0.017450909826006333,-0.029213762518043584,0.004224541645897695,0.02873893866279842,0.008675426669804476,-0.07710780347342089,-0.07752185948765045,-0.0022901550620270106,0.010481451482145271,-0.0247789374654665,-0.002008790667286847,-0.00012515056998074758,0.013574486309549882,-0.023406687674290882,-0.011444573383245976,-0.03571494769113187,-0.025658316352573318,-0.02703716349347529,0.017943249137272438,0.08512618909396354,-0.046472362054124916,0.04138627048620119,-0.08666722983361763,-0.013653220875286254,-0.003345358333377124,-0.03507070062123013,-0.05178401389391099,-0.015379624779235601,0.002625789928058453,0.04720154235194218,-0.0006214120165461412,-0.017107431176354715,0.012840695533531704,-0.0027256758307699913,-0.0040611169955585,0.005300975374048056,-0.012815115286808978,-0.004803057367925995
ATL1,-0.008738302367651607,-0.0050669576101967095,0.0044371528218288825,0.1908461528006204,0.020377391604701867,0.0014901260809064842,-0.0773557494094142,-0.025278586239381118,-0.036859785328890615,0.021606826210230357,0.06743692027653247,0.07179764905790975,0.05003838506302538,0.03643356329305636,-0.00801966233571283,0.01450721576030839,-0.021276754480674565,0.025452398226914363,-0.02893410740551028,-0.0908796997362265,-0.03964956292143457,0.0692661601440685,0.027157683933183074,0.045519132272891005,0.008307919622530524,-0.00266522909700051,0.038135868264641104,0.04487433310914335,0.02540128684434484,-0.007092414692055182,-0.008740989915151154,-0.06637818826060515,-0.0520275518640263,-0.06940106070382035,-0.02925609331419099,0.04131976671930815,0.07620065903656359,-0.018179954263271514,-0.031491310236932524,-0.05846026955154693,0.043949092666446754,-0.016055129770523147,-0.06056174714531065,0.008421552422545053,0.0344984189637324,0.02780989758883967,-0.011604033443267658,0.02406898589495471,-0.06334141788558117,-0.013694530949211359,0.04651315624568253,-0.024691640871848386,-0.1460409332392688,-0.003850002754821391,-0.05790566358398985,-0.04680613882771656,0.03965053486430853,0.032791620750886485,0.03047081485671993,-0.04142625871088812,-0.0736447637177573,-0.021634519857570367,0.06495007728826507,-0.059931602309723664,0.00022206363448651345,-0.12692243518482743,-0.01870174295838689,-0.060204018170593676,-0.011821210357976175,-0.08097137301117352,0.04241810340488872,0.00406930555486551,0.016794846336637748,0.006622323049745915,-0.01817747596046354,-0.012227757341518819,0.009766452343308085,-0.015227424277907575,-0.04233617104764209,-0.01750314849300988,-0.05603262227530831,0.06424342537356731,0.010299446295060799,-0.044201966504272494,-0.001798727351391971,-0.0003965298844850196,0.0979882681634825,-0.0825424705846165,0.04744439679060619,0.04697776540634707,-0.07454300250776041,-0.08507501204248841,-0.15153182651340924,-0.01931634959785994,0.05706323121526902,-0.08372526459095525,-0.005006519305796653,0.16061908351749338,-0.02657942859943513,-0.023838054064511338,-0.004610128360428956,0.0852042879517575,-0.04550433742218024
BCORL1,0.0003497855122858162,0.0007072674545811064,-0.00914975278916369,0.0203773916047022,0.01431319881146266,0.01949873149390141,0.03609012857934482,-0.004870965150897133,-0.012694535705888077,0.0656161178036794,0.049457979679994046,0.029707508178232034,0.08423423677907266,0.09705698005108471,0.09531749718467913,0.0335346357881495,0.010950688701544503,0.029327389313748925,0.05338833022312475,0.05897584946318135,0.019538963874118048,0.11723061559698666,0.033287517105853426,-0.026442186846718847,0.06231310379471483,0.017331875585503365,-0.0014999942548807044,0.0025304271065238236,-0.01448810729541647,-0.08441187148198209,0.055541322278638616,0.062495654094981784,0.0460591415708419,0.035668743465568725,0.027329313836796154,-0.0316049538712338,-0.03698923625616646,0.013267844124092806,-0.1516571347151629,0.003939501596758738,0.025434748302672006,0.02838677186722738,0.014832538081534674,-0.03071305057776219,0.037735554057741205,-0.022451911360930665,-0.08657574327664036,-0.004935007649077089,0.009407636941224234,-0.0035898659818997536,0.03293728633244483,0.021126937146792063,-0.041553354911124565,-0.00028543281394163844,0.0017100675712061475,0.02876624300373136,-0.006858880522427335,0.03281585795854319,0.014948555555455274,0.07331444423436635,0.03280649794295641,0.007338708278136347,-0.012436135589464187,-0.014904258995167535,0.01550620205388803,-0.007299946977006921,0.03753622302245052,0.07105673924948142,0.032494453186508565,-0.00957132431092983,-0.08071116069440182,-0.03636913978612172,-0.06962947211404713,-0.018901625262505245,0.04087281871225493,-0.011271534641194292,0.017532975566600217,0.0485173465435883,0.0635475356550009,0.017441198002282665,0.07298319927572958,0.036896001747865226,0.020878123209175203,0.04141899344582081,-0.02199855197471868,-0.0034927725144839328,-0.0007145519215692175,-0.03420890505717983,0.017673453010988383,0.018657799502337424,0.022015612800450043,0.03992678027652216,-0.03443941329528677,0.010163237663919994,0.0033124965834392395,0.001406963588605037,-0.004872999050641091,-0.024173887834883195,0.024350505933986966,0.058467868118594224,0.01628798776636664,-0.006102920113165905,-0.027634319081199343
BPGM,0.04126761943859181,-0.015274313875966505,-0.01499259445913198,0.0014901260809068728,0.019498731493901356,0.025022365982631523,0.02692434227104773,-0.003969258909268081,-0.060363717365836844,0.06028156390051054,0.054112535298526665,0.020932476048525273,0.12571128746703697,0.07948203010397109,0.07176010801093435,0.04456241013912607,0.037853682042578884,0.011819849833865415,0.012597709467037754,-0.03403171173901398,0.039699138350648394,0.0704342367937561,0.04382469436421621,-0.00818882835945545,0.05361521928884416,-0.008141397546470308,0.05454409703585575,0.006989517944326798,0.05122113105262527,0.007006962306382425,0.06700450473056282,0.0279621766787862,0.03131738827106667,0.053549880405943495,0.07099557967820719,0.0010442179683027852,0.012760772318455904,0.01125132610672916,-0.06357493177970647,-0.0377953194500614,0.05506828994499452,0.04275625949425377,0.025013658321236754,0.0148332092615584,0.022825027581470425,-0.0653168193453672,-0.07855910668964733,-0.0310469238810957,-0.008087577530572598,0.005205777118367061,0.0654540423412503,0.02969568067351752,-0.03040578743663517,-0.01885397253951107,-0.0013129210899501809,-0.0009058723335280405,0.019249698349575663,0.022069751294160583,0.02355363351568259,0.0605442033086776,0.018330940756474207,0.04704255963250825,0.03586474532556949,0.010242953324637288,0.0018839052287706881,0.017437855351759457,0.04131425019686785,0.07656625787047774,0.05997039019031686,0.03898616965209989,-0.041195741683744014,-0.005546396723762059,-0.030919504688198596,-0.02292612054928289,0.039411074638760174,-0.011176962584883599,0.03662423188867947,0.025253707245009416,0.07225700417750514,0.0262132104214714,0.05373173626221306,0.02338627537071669,-0.023993402693633148,0.025387675419893813,0.01117836653054663,-0.005310375539395784,0.039163825895011356,-0.02541849680028735,0.02835068093345189,0.08816686223184467,0.01342271800337902,-0.0164995017929587,-0.06787287140694845,0.030349575935007422,-0.021173131494706343,0.014245672506659701,-0.028003220220858188,-0.05430097293370656,0.012852603889286801,0.012381491393749555,-0.02898254526144109,0.02166414947260675,-0.00802104331365161
CBARP,-0.00406138924987004,-0.0003038117990654676,-0.009302613207803512,-0.07735574940941387,0.03609012857934482,0.026924342271047674,0.006738558213990914,-0.011566013988432267,-0.07818053897082894,0.023584955086347725,0.04455636290007664,0.029115381244567584,-0.007528468171443814,0.02580041593121163,-0.03812518431165074,0.016635415351829608,0.025382151212035797,-0.00903561697851224,-0.006853956352139257,-0.0425686366485338,0.0035989929818155963,0.08510766220117283,-0.0442722286812508,0.01314240157226945,0.005100187578323312,-0.08529356950008132,0.02665111293382913,0.02449305264923112,0.07650918553663841,0.04981162029960154,0.007816469521511493,-0.0751285827236099,-0.040737495793584544,-0.016402313009162006,-0.022108650414331132,-0.0757536079500587,-0.010736671101433726,-0.0023386605521172887,-0.11953303548386496,-0.0014560978506704403,0.031272881510443995,-0.002682453986101896,-0.00675282237102276,-0.07531040966803504,-0.009144441526188152,-0.09148877574353448,-0.07314974071721664,0.007266778821615527,-0.0358052360289049,-0.04247473958367387,0.05599659740580609,0.02593415710863281,-0.11889893924413147,-0.01275812447446703,0.02109368593907085,0.004806205731145513,0.008502313485311497,0.03360546175661488,0.02477450660601237,0.01989470487851644,-0.011505633086114825,0.031748730081401444,0.06062942733076157,-0.029585789132958562,-0.04903026562690682,-0.025193692353816022,0.03847000905594761,0.030902981343971653,0.03284812041203558,-0.08695898224456383,-0.09185741817723364,-0.06725643933687431,0.0038000624735279875,0.007862657087131353,0.0066595035337838615,0.02289992251072495,-0.04910526297805362,-0.03371073664721891,-0.0052199023741589246,0.030959829689539503,-0.008839167628785949,0.0034261326173460893,-0.00854930097852391,-0.025834273802790353,0.0017191070209047338,-0.054302535839269195,0.05898198785889233,-0.14440990869686282,0.004929152213172694,0.05749791834333823,-0.014929256053289208,-0.056568216393915766,-0.10932388347543873,0.02725252659498062,-0.004841836906926189,-0.009647355649428452,-0.007149899371875518,-0.019341770061819308,0.014368821365929985,-0.09152441196493982,-0.015280404082185312,0.06293950687593378,-0.044071420295775376
CBFA2T3,-0.07233032374258275,-0.07776365809702618,-0.01981196341574315,-0.025278586239380785,-0.004870965150897272,-0.003969258909268192,-0.011566013988432322,0.10884839277690073,0.004332649140975808,-0.0012369763222657149,0.01980069459238548,0.06508536207362603,-0.03793490899305507,0.0064564403077879695,0.08151656868906448,0.009300993556393577,-0.035996627863251696,0.042140158498461644,-0.02187118096595575,-0.014910561587940296,-0.014906245384101346,0.06229769459452733,0.005098842703695594,0.00351728765733568,-0.0731203742769726,0.019997887264217695,0.0015381110005595056,-0.008681585950935822,-0.022199348192110557,-0.1647075858604704,-0.021251300334100887,-0.14483170047851718,-0.10761115456788073,-0.08916207405990517,-0.0454506751683591,-0.07914045811167059,-0.04265103369917761,-0.012592010455634295,-0.11352083403936591,0.0212882185471141,-0.004529956905712895,-0.04243829790335596,-0.10467961320342772,-0.02838643586865497,0.007361824052992683,-0.09584957796283933,-0.012128142949671794,-0.000440411331171231,-0.11826116627918509,-0.06500731692388734,0.022844262335539767,-0.009469918461538551,0.07722155880693542,-0.041403850059303915,-0.1326501726753116,-0.06598996998585765,0.0455384044528595,0.0225140721223709,0.022644322352182798,-0.004672343331171058,-0.007249194877670728,0.0038576297005590288,-0.03696076857607089,-0.0949923156285628,-0.06207706897485232,0.1107071640960699,-0.010722962760862875,-0.04564558042076283,0.02627943834018187,-0.15320757569189591,-0.08241713883267754,-0.049422301215419406,-0.018010249654690502,-0.00569592227929841,-0.00713585476317341,-0.012902704112560892,0.03861742105932042,-0.05918486513534443,-0.043980721555882174,-0.020454806080510646,-0.048525989591685414,-0.011542978716160834,0.009277588329426045,0.009876619454690705,-0.014690188877684529,-0.08445992526550367,-0.004009215539640981,-0.20207854525019886,-0.05294786730769885,0.008762088283211455,-0.057653922509956185,-0.015032226324880549,-0.024884519291211354,0.03325879812710009,0.03303128322964288,-0.008066605404521282,-0.02480801518282405,0.009074142787971917,-0.010979241005237173,-0.06834166263529945,0.010726127996322055,0.009208413668692024,-0.031094783067473653
CBL,-0.058872270616014855,-0.02565668636216356,-0.0012199428917690214,-0.03685978532889017,-0.01269453570588816,-0.0603637173658369,-0.07818053897082894,0.004332649140975919,0.07050776475208462,0.00526338982565322,-0.00519234422472914,0.00037366848343778347,0.14738297637257336,0.06347954391073107,-0.015829705957862483,0.02637119320610362,0.03793518043976779,-0.08464864353939422,-0.06868427979341557,-0.2602639068805625,-0.021235206808664253,0.030270543125375193,0.03168295648756514,-0.005742232202049738,0.04723674997060345,-0.14360622713700483,0.023439808166553555,0.015826834783012757,0.0614372780780206,-0.01873229537375748,0.07689544523770261,-0.021513610534709404,-0.023726546708008,0.015420285567679326,-0.006849890291014571,-0.049432227790709105,-0.06588039996129896,-0.01283798713551268,-0.15385288588575813,-0.027304842247385525,-0.013653174060106577,-0.05386673287736743,0.01271267532471293,-0.061063121416181365,-0.042407321277434185,-0.09026409794349621,-0.11898136112289842,-0.05201179333314787,0.035020096014716756,-0.050179639510086915,0.04651721845813428,0.04966335928619689,-0.03064638180333834,-0.014999612429547726,0.0396642642711843,-0.05777175579807675,0.007710073715483039,0.04572896992414227,0.05250566844227429,0.03379756338038181,0.03695032827605213,0.016793499519614924,0.03997090555424648,-0.0427352717979993,-0.02931257028290002,-0.027145769543946763,0.02078062445419987,0.09193433574088117,0.028726510169757385,-0.0983342887929366,-0.06283002031005253,-0.08393425934654541,-0.11245139506405483,-0.09362346317053252,0.005275208867807746,-0.11635469786891428,-0.08455248962801226,-0.033293359033139514,0.03260580078747988,0.015973691052631855,0.034906584525136064,-0.049606353129133474,-0.10736014150159362,-0.06266585334412972,0.017234467830861064,-0.03933136744660504,0.012501612102777393,0.004724393153864692,0.0044143822110063735,0.019660008179713362,-0.022418384868537367,-0.01879024640616539,-0.13014085434429876,0.04141782307493236,0.004635202319747789,0.0009268431389752863,-0.20803943047684706,-0.23052824718960485,-0.054613110556929745,-0.019738815242911323,-0.07019148607860376,0.04968474012438638,-0.04032810110291313
CDKN1A,0.045270979040621606,0.03593858168806946,0.006339885633023845,0.0216068262102308,0.06561611780367924,0.060281563900510315,0.02358495508634756,-0.0012369763222658259,0.005263389825653109,0.0481067343543099,0.08555523342679044,0.07780177089647994,0.0611195957828532,0.08622904147803134,0.013087063586692538,0.021058721115662593,0.061310766991366505,0.07220374652308259,0.06530322159500396,0.0016034356455330578,0.08736767478587826,0.14460505622903413,0.034154684592533124,0.01873442864135684,0.07612301881429662,0.0013737830233765402,-0.015028555550843925,0.018440694985569384,0.09656043000410858,-0.10949861986222509,0.013115119453934176,0.02316983794065053,0.030107867000312205,0.04720348100033145,0.05298638923808341,0.007933494581384704,0.053766782894040244,0.016867634587993674,-0.008099320332273341,0.04103973372727243,0.10234725008379819,0.050405164840288785,0.05405285037457119,0.07088042777177911,0.017971804328858865,0.01522545493117311,-0.000989612614449742,0.011609644053774626,0.0013561771534004174,0.007432528180739584,0.08446481066456046,0.03101232175861668,-0.0651645304154978,0.006978766810950554,-0.016347603903026253,0.035947107793768696,0.025601521957855394,-0.009007323020537944,0.004033553149326186,0.07829377659723291,0.011955910702188821,0.07124219863821818,0.06351575570319579,-0.012782046841098182,0.05648314144761585,0.017923677782223868,0.1375433811362759,0.047187500389098525,0.06639327267304573,0.0205214149636761,0.016839514026068647,-0.01679036028212466,0.05827489930972396,0.0447588349565434,0.05485934087879474,0.06738412885851114,0.07160917463095429,0.039102414404323216,0.012938048098644572,0.03063301897814813,0.09873152421956999,0.059891979694802366,-0.029183564979023024,0.04899045651545125,-0.0006887978390907323,0.04327033043632311,0.034368950656088276,0.051125300474758384,0.06324630655226798,0.13162026946610084,0.049554839415193924,0.04435592515906567,-0.07303908195665731,0.00742408671982947,0.022180033514892505,0.01665513407137048,0.0030723519865634152,0.032223237076485944,0.07216634094214425,0.02985295734954413,0.03487682481277771,0.04537609123038029,0.02442046818722804
